Z,长度,cy_count,人均消费_,data_point,r/s_均值,rent_area_,sell_area_,lng,lat
365,3494.305649,,,,,,,332590,3406011
365,2573.404725,,,,,,,333590,3406011
365,2215.308776,,,,,,,334590,3406011
365,1955.446659,,,,,,,335590,3406011
365,1688.600584,,,,,,,336590,3406011
365,616.011934,,,,,,,337590,3406011
365,744.8914787,,,,,,,338590,3406011
365,1110.692824,,,,,,,339590,3406011
304,2599.731382,,,,,,,340590,3406011
1201,5864.170349,,,,,,,341590,3406011
229,8645.320264,,,,,,,342590,3406011
242,6699.632697,,,,,,,343590,3406011
365,3210.881953,,,,,,,344590,3406011
1432,0,,,,,,,345590,3406011
0,2070.884836,,,,,,,346590,3406011
1431,773.1432231,,,,,,,347590,3406011
1431,908.1899824,,,,,,,348590,3406011
0,1548.607355,,,,,,,349590,3406011
0,3000.492426,,,,,,,350590,3406011
0,2340.211604,,,,,,,351590,3406011
0,998.5490761,,,,,,,352590,3406011
671,0,,,,,,,320590,3407011
671,2304.033465,,,,,,,321590,3407011
670,1147.182763,,,,,,,322590,3407011
675,2355.395478,,,,,,,323590,3407011
323,2042.514023,,,,,,,324590,3407011
282,810.9862993,,,,,,,325590,3407011
473,876.3273363,1,0,,,,,326590,3407011
0,0,,,,,,,327590,3407011
399,0,,,,,,,328590,3407011
399,988.0640808,,,,,,,329590,3407011
335,910.4396733,,,,,,,330590,3407011
214,1373.245542,,,,,,,331590,3407011
282,1911.320739,,,,,,,332590,3407011
365,1559.397694,,,,,,,333590,3407011
365,3278.642085,,,,,,,334590,3407011
295,1384.022332,,,,,,,335590,3407011
316,1779.667055,1,0,,,,,336590,3407011
365,1770.17733,,,,,,,337590,3407011
365,1645.086241,,,,,,,338590,3407011
365,1716.968816,,,,,,,339590,3407011
322,1820.442145,,,,,,,340590,3407011
359,4293.532117,1,0,,,,,341590,3407011
359,3784.125037,,,,,,,342590,3407011
365,3367.68466,,,,,,,343590,3407011
365,2319.954259,,,,,,,344590,3407011
